met.x	met.y	rxn
C00012	C03011	R00234
C00012	C03193	R01687
C00012	C03193	R04159
C00012	C03193	R04935
C00017	C16739	R03862
C00018	C00250	R00173
C00018	C00250	R00174
C00018	C00647	R00277
C00018	C00627	R00278
C00019	C00073	R00177
C00019	C01137	R00178
C00019	C00021	R00367
C00019	C00021	R00594
C00019	C00021	R00595
C00019	C00021	R00597
C00019	C00021	R00600
C00019	C00021	R00650
C00019	C00021	R00827
C00019	C00021	R01269
C00019	C00021	R01883
C00019	C00021	R02056
C00019	C00021	R02144
C00019	C00021	R02155
C00019	C00021	R02174
C00019	C00021	R02175
C00019	C00021	R02533
C00019	C00021	R02534
C00019	C00021	R02572
C00019	C00021	R02808
C00019	C00021	R02910
C00019	C00021	R02920
C00019	C00021	R03130
C00019	C00021	R03304
C00019	C00021	R03701
C00019	C00021	R03788
C00019	C00021	R03805
C00019	C00021	R03875
C00019	C00021	R03922
C00019	C00021	R03938
C00019	C00021	R04033
C00019	C00021	R04062
C00019	C00021	R04190
C00019	C00021	R04301
C00019	C00021	R04481
C00019	C00021	R04496
C00019	C00021	R04711
C00019	C00021	R04762
C00019	C00021	R04764
C00019	C00021	R04858
C00019	C00021	R04866
C00019	C00021	R04867
C00019	C00021	R04881
C00019	C00021	R04887
C00019	C00021	R04905
C00019	C00021	R04983
C00019	C00021	R04990
C00019	C00021	R05182
C00019	C00021	R05614
C00019	C00021	R05755
C00019	C00021	R05756
C00019	C00021	R07235
C00019	C00021	R07330
C00019	C00021	R08236
C00019	C00021	R08239
C00019	C00021	R08246
C00019	C00021	R08468
C00019	C00021	R08469
C00019	C00021	R08537
C00019	C00021	R08771
C00019	C00021	R08774
C00019	C00021	R08781
C00019	C00021	R09370
C00019	C00021	R09737
C00019	C00021	R10306
C00019	C00170	R10455
C00019	C00021	R10497
C00019	C00021	R10498
C00019	C00021	R10586
C00019	C00021	R10587
C00019	C00170	R10611
C00019	C00021	R10649
C00019	C00021	R10651
C00019	C00021	R10716
C00019	C00021	R10806
C00019	C00021	R10812
C00021	C00155	R00192
C00021	C00212	R00192
C00022	C05125	R00014
C00022	C00256	R00197
C00022	C00074	R00200
C00022	C00024	R00209
C00022	C00149	R00214
C00022	C00149	R00216
C00022	C00036	R00217
C00022	C00065	R00220
C00022	C00041	R00258
C00022	C00036	R00344
C00022	C00041	R00369
C00022	C00074	R00430
C00022	C01127	R00470
C00022	C05946	R00471
C00022	C02119	R00543
C00022	C00074	R00572
C00022	C00041	R00585
C00022	C00074	R00659
C00022	C00186	R00703
C00022	C00074	R00724
C00022	C00097	R00782
C00022	C02514	R01085
C00022	C00074	R01138
C00022	C00270	R01811
C00022	C00074	R01858
C00022	C00041	R02050
C00022	C00074	R02320
C00022	C00491	R02408
C00022	C00957	R03105
C00022	C00957	R03106
C00022	C02882	R03528
C00022	C00133	R05861
C00022	C05689	R09366
C00022	C20485	R10283
C00022	C00041	R10992
C00024	C00033	R00227
C00024	C00083	R00233
C00024	C00033	R00235
C00024	C00332	R00238
C00024	C00264	R00391
C00024	C00222	R00705
C00024	C00222	R00706
C00024	C00083	R00742
C00024	C02232	R00829
C00024	C05269	R01177
C00024	C00356	R01360
C00024	C03939	R01624
C00024	C05265	R03778
C00024	C05261	R03858
C00024	C05259	R03991
C00024	C05263	R04742
C00024	C05267	R04747
C00024	C07118	R05506
C00024	C06715	R05586
C00024	C16330	R07891
C00024	C16334	R07895
C00024	C16338	R07899
C00024	C16376	R07937
C00024	C16389	R07953
C00024	C16466	R08091
C00024	C16471	R08095
C00025	C03287	R00239
C00025	C00026	R00243
C00025	C00026	R00248
C00025	C01879	R00251
C00025	C00064	R00253
C00025	C00064	R00256
C00025	C00064	R00257
C00025	C00026	R00258
C00025	C00624	R00259
C00025	C00334	R00261
C00025	C00026	R00355
C00025	C00026	R00372
C00025	C00051	R00494
C00025	C00064	R00573
C00025	C00064	R00575
C00025	C00064	R00578
C00025	C00026	R00667
C00025	C00026	R00668
C00025	C00026	R00694
C00025	C03912	R00707
C00025	C03912	R00708
C00025	C00026	R00734
C00025	C00064	R00768
C00025	C00669	R00894
C00025	C00026	R00895
C00025	C00026	R00908
C00025	C09332	R00942
C00025	C00064	R01072
C00025	C00026	R01090
C00025	C00026	R01214
C00025	C00064	R01231
C00025	C00026	R01648
C00025	C05928	R01654
C00025	C00026	R01939
C00025	C00026	R01956
C00025	C00026	R02199
C00025	C00415	R02237
C00025	C00439	R02287
C00025	C00449	R02313
C00025	C00026	R02433
C00025	C00026	R02619
C00025	C01045	R03189
C00025	C00064	R03905
C00025	C02320	R03916
C00025	C05711	R03970
C00025	C06114	R03971
C00025	C00026	R04171
C00025	C00026	R04173
C00025	C00026	R04188
C00025	C00064	R04212
C00025	C03541	R04241
C00025	C03541	R04242
C00025	C00064	R04463
C00025	C00026	R05052
C00025	C00026	R05085
C00025	C05929	R05197
C00025	C02987	R05578
C00025	C00026	R07396
C00025	C00064	R08244
C00025	C02166	R09875
C00025	C20775	R10677
C00025	C12270	R10678
C00025	C20776	R10679
C00025	C12270	R10687
C00025	C20776	R10688
C00025	C20776	R10693
C00025	C00026	R10991
C00025	C21015	R10993
C00026	C00433	R00264
C00026	C00311	R00267
C00026	C00940	R00269
C00026	C03196	R00298
C00026	C05381	R00621
C00026	C00311	R00709
C00026	C00449	R00716
C00026	C01087	R03225
C00026	C02630	R03534
C00026	C02630	R08198
C00026	C00091	R08549
C00029	C00167	R00286
C00029	C00103	R00287
C00029	C00103	R00289
C00029	C00052	R00291
C00029	C00103	R00955
C00031	C01083	R00010
C00031	C00092	R00299
C00031	C00092	R00303
C00031	C00243	R00503
C00031	C00092	R00725
C00031	C00089	R00801
C00031	C00243	R01100
C00031	C05402	R01101
C00031	C00092	R01139
C00031	C01190	R01498
C00031	C00252	R01718
C00031	C00208	R05196
C00031	C00092	R05804
C00032	C02191	R00310
C00032	C00500	R00311
C00032	C00524	R02480
C00033	C00227	R00317
C00033	C01042	R00488
C00033	C00437	R00669
C00033	C00084	R00710
C00033	C00084	R00711
C00033	C01996	R01026
C00033	C00548	R01241
C00033	C00357	R02059
C00033	C01288	R03482
C00033	C03837	R04141
C00033	C04598	R04452
C00033	C06376	R05168
C00033	C13636	R06893
C00033	C00548	R07342
C00033	C04675	R08090
C00033	C05138	R08517
C00033	C01176	R08518
C00033	C05727	R10553
C00036	C00149	R00342
C00036	C00288	R00344
C00036	C02362	R00348
C00036	C00158	R00351
C00036	C00158	R00352
C00036	C00049	R00355
C00036	C00049	R00357
C00036	C00402	R00359
C00036	C00074	R00431
C00036	C00074	R00726
C00037	C00048	R00366
C00037	C00213	R00367
C00037	C00048	R00369
C00037	C03508	R00371
C00037	C00048	R00372
C00037	C02055	R00395
C00037	C00051	R00497
C00037	C00581	R00565
C00037	C00048	R00588
C00037	C00213	R00610
C00037	C00213	R00611
C00037	C00188	R00751
C00037	C00430	R00830
C00037	C01419	R00899
C00037	C00065	R00945
C00037	C01242	R03425
C00037	C02412	R03654
C00037	C01921	R03718
C00037	C03838	R04144
C00037	C05729	R04951
C00037	C05598	R05841
C00037	C05519	R06171
C00037	C05466	R08744
C00037	C00065	R09099
C00037	C21016	R10994
C00039	C02128	R00381
C00039	C02128	R00382
C00039	C02128	R10822
C00039	C02128	R10823
C00040	C00264	R09419
C00041	C00328	R00987
C00041	C03227	R02668
C00041	C00886	R03038
C00041	C05688	R03599
C00041	C02700	R03936
C00041	C02999	R04112
C00041	C00097	R07460
C00042	C00091	R00405
C00042	C00091	R00410
C00042	C00091	R00432
C00042	C00232	R00713
C00042	C00091	R00727
C00042	C00091	R01780
C00042	C00091	R02084
C00042	C00122	R02164
C00043	C00645	R00414
C00043	C04501	R00416
C00043	C00203	R00418
C00045	C03363	R03867
C00045	C03363	R04159
C00046	C02073	R00436
