rxn	gene
R02161	66694
R07361	18105
R08310	11532
R08310	26876
R08310	11529
R08310	11522
R08306	11532
R08306	26876
R08306	11529
R08306	11522
R00623	11532
R00623	26876
R00623	11529
R00623	11522
R10783	11532
R10783	26876
R10783	11529
R10783	11522
R08557	11532
R08557	26876
R08557	11529
R08557	11522
R08558	11532
R08558	26876
R08558	11529
R08558	11522
R00754	11532
R00754	26876
R00754	11529
R00754	11522
R02878	11532
R02878	26876
R02878	11529
R02878	11522
R04805	11532
R04805	26876
R04805	11529
R04805	11522
R00624	11532
R00624	26876
R00624	11529
R00624	11522
R07105	11532
R07105	26876
R07105	11529
R07105	11522
R06917	11532
R06917	26876
R06917	11529
R06917	11522
R05233	11532
R05233	26876
R05233	11529
R05233	11522
R08281	11532
R08281	26876
R08281	11529
R08281	11522
R04880	11532
R04880	26876
R04880	11529
R04880	11522
R06927	11532
R06927	26876
R06927	11529
R06927	11522
R05234	11532
R05234	26876
R05234	11529
R05234	11522
R02124	11532
R02124	26876
R02124	11529
R02124	11522
R01904	67880
R02978	70750
R01465	58865
R02124	242285
R02124	27400
R03167	625249
R08360	21672
R08360	54683
R08360	11757
R08360	53381
R08360	18477
R08360	11758
R08360	102642619
R07180	21672
R07180	54683
R07180	11757
R07180	53381
R07180	18477
R07180	11758
R07180	102642619
R08362	21672
R08362	54683
R08362	11757
R08362	53381
R08362	18477
R08362	11758
R08362	102642619
R09506	66469
R07145	20322
R00875	20322
R01896	20322
R02580	15446
R02683	15446
R03327	15495
R03327	15493
R03327	100043456
R03327	15497
R03327	15492
R03327	15496
R09920	15495
R09920	15493
R09920	100043456
R09920	15497
R09920	15492
R09920	15496
R02499	15495
R02499	15493
R02499	100043456
R02499	15497
R02499	15492
R02499	15496
R02840	15495
R02840	15493
R02840	100043456
R02840	15497
R02840	15492
R02840	15496
R03176	15495
R03176	15493
R03176	100043456
R03176	15497
R03176	15492
R03176	15496
R04849	15495
R04849	15493
R04849	100043456
R04849	15497
R04849	15492
R04849	15496
R04163	15495
R04163	15493
R04163	100043456
R04163	15497
R04163	15492
R04163	15496
R01837	15495
R01837	15493
R01837	100043456
R01837	15497
R01837	15492
R01837	15496
R04678	15495
R04678	15493
R04678	100043456
R04678	15497
R04678	15492
R04678	15496
R02216	15495
R02216	15493
R02216	100043456
R02216	15497
R02216	15492
R02216	15496
R04840	15483
R02836	15483
R03848	15483
R03203	15483
R04758	15483
R09420	15483
R02209	105349
R08958	105349
R03325	105349
R08959	105349
R02207	105349
R02975	20751
R08208	20751
R01813	20751
R04285	20751
R00602	12359
R00009	12359
R02670	12359
R07443	13861
R07443	11758
R07443	76113
R07443	102642619
R07443	69675
R04007	13861
R04007	11758
R04007	76113
R04007	102642619
R04007	69675
R03532	13861
R03532	11758
R03532	76113
R03532	102642619
R03532	69675
R00602	13861
R00602	11758
R00602	76113
R00602	102642619
R00602	69675
R02596	13861
R02596	11758
R02596	76113
R02596	102642619
R02596	69675
R03919	13861
R03919	11758
R03919	76113
R03919	102642619
R03919	69675
R04483	18194
R07494	18194
R04328	18194
R07149	18194
R04203	15108
R01430	71755
R03208	22018
R08522	22018
R08523	22018
R03953	22018
R03539	22018
R08520	22018
R02810	22018
R03973	22018
R08521	22018
R08724	101502
R08723	101502
R08721	101502
R08728	101502
R04263	101502
R04264	101502
R02581	109857
R02581	12409
R02581	12408
R03557	109857
R03557	12409
R03557	12408
R09420	109857
R09420	12409
R09420	12408
R02581	12408
R00274	14780
R00274	75512
R00274	14775
R00274	14778
R00274	67305
R00274	14776
R00274	69590
R07034	14780
R07034	75512
R07034	14775
R07034	14778
R07034	67305
R07034	14776
R07034	69590
R07035	14780
R07035	75512
R07035	14775
R07035	14778
R07035	67305
R07035	14776
R07035	69590
R04552	12408
R05231	58810
R01481	58810
R00746	58810
R00625	58810
R01041	58810
R07328	58810
R08240	23917
R08240	23918
R01130	23917
R01130	23918
R02531	11677
R02531	14187
R02531	11997
R02531	67861
R01759	11677
R01759	14187
R01759	11997
R01759	67861
R01093	11677
R01093	14187
R01093	11997
R01093	67861
R01758	11677
R01758	14187
R01758	11997
R01758	67861
R01787	11677
R01787	14187
R01787	11997
R01787	67861
R02820	11677
R02820	14187
R02820	11997
R02820	67861
R02577	11677
R02577	14187
R02577	11997
R02577	67861
R01041	11677
R01041	14187
R01041	11997
R01041	67861
R01036	11677
R01036	14187
R01036	11997
R01036	67861
R02819	11677
R02819	14187
R02819	11997
R02819	67861
R01095	11677
R01095	14187
R01095	11997
R01095	67861
R01431	11677
R01431	14187
R01431	11997
R01431	67861
R07890	97212
R04741	97212
R04739	97212
R01778	97212
R07936	97212
R07898	97212
R04737	97212
R07894	97212
R07952	97212
R04748	97212
R04743	97212
R04745	97212
R03591	27384
R03592	27384
R00286	22235
R09564	17523
R01836	14979
R01836	27400
R01836	15486
R05682	56043
R00703	16832
R00703	106557
R00703	16828
R00703	16833
R01000	16832
R01000	106557
R01000	16828
R01000	16833
R03104	16832
R03104	106557
R03104	16828
R03104	16833
R05691	15490
R07495	15490
R04328	15490
R05692	22122
R07060	22122
R07059	22122
R07140	11532
R06983	11532
R01361	69772
R01361	71911
R08379	108841
R08379	20148
R08379	77974
R08379	17252
R05066	58875
R02047	58875
R08382	19682
R03048	19682
R10826	56348
R07759	56348
R02082	15357
R10221	110208
R07898	15108
R07898	15488
R07898	15107
R07898	74147
R08094	15108
R08094	15488
R08094	15107
R08094	74147
R04203	15108
R04203	15488
R04203	15107
R04203	74147
R04739	15108
R04739	15488
R04739	15107
R04739	74147
R01975	15108
R01975	15488
R01975	15107
R01975	74147
R04812	15108
R04812	15488
R04812	15107
R04812	74147
R06941	15108
R06941	15488
R06941	15107
R06941	74147
R07894	15108
R07894	15488
R07894	15107
R07894	74147
R04810	15108
R04810	15488
R04810	15107
R04810	74147
R04741	15108
R04741	15488
R04741	15107
R04741	74147
R01778	15108
R01778	15488
R01778	15107
R01778	74147
R04748	15108
R04748	15488
R04748	15107
R04748	74147
R05305	15108
R05305	15488
R05305	15107
R05305	74147
R04737	15108
R04737	15488
R04737	15107
R04737	74147
R07890	15108
R07890	15488
R07890	15107
R07890	74147
R04743	15108
R04743	15488
R04743	15107
R04743	74147
R05575	15108
R05575	15488
R05575	15107
R05575	74147
R05066	15108
R05066	15488
R05066	15107
R05066	74147
R04745	15108
R04745	15488
R04745	15107
R04745	74147
R10907	14381
R10907	14380
R10520	14381
R10520	14380
R02736	14381
R02736	14380
R00835	14381
R00835	14380
R07136	17448
R07136	17449
R00342	17448
R00342	17449
R00217	107029
R00214	107029
R00217	17436
R00217	109264
R00216	17436
R00216	109264
R00709	67834
R00709	243996
R00709	170718
R00709	15929
R00267	269951
R00267	15926
R01899	269951
R01899	15926
R00268	269951
R00268	15926
R01528	110208
R02640	68631
R01521	100198
R01520	100198
R00835	14380
R00835	14381
R02736	14380
R02736	14381
R04681	15486
R04681	15485
R04681	15490
R04681	56348
R04681	14979
R04681	27400
R02352	15486
R02352	15485
R02352	15490
R02352	56348
R02352	14979
R02352	27400
R08945	15486
R08945	15485
R08945	15490
R08945	56348
R08945	14979
R08945	27400
R08980	15486
R08980	15485
R08980	15490
R08980	56348
R08980	14979
R08980	27400
R04682	15486
R04682	15485
R04682	15490
R04682	56348
R04682	14979
R04682	27400
R02353	15486
R02353	15485
R02353	15490
R02353	56348
R02353	14979
R02353	27400
R01838	15487
R00465	76238
R02527	76238
R01392	76238
R00842	14555
R00842	333433
R01392	76238
R01388	76238
R08198	236539
R01513	236539
R00197	52815
R00678	56720
R08678	66071
R08677	66071
R00781	66071
R02467	211488
R00893	12583
R01372	15445
R02521	15445
R01596	11685
R01596	11684
R01593	11687
R01593	11688
R03626	11687
R03626	11688
R01595	11689
R08527	11689
R03058	11689
R02519	15233
R03628	15930
R03628	209176
R07362	15930
R07362	209176
R00678	15930
R00678	209176
R02702	15930
R02702	209176
R02909	15930
R02909	209176
R07363	104923
R07364	104923
R02665	107766
R00032	63857
R10559	170752
R00475	56185
R00475	15112
R01341	56185
R01341	15112
R10053	268756
R03184	268756
R00647	268756
R01184	56727
R02397	170442
R04073	65973
R05722	16922
R01252	18451
R01252	18452
R01252	320452
R03219	18451
R03219	18452
R03219	320452
R09510	30841
R09510	71952
R09510	77035
R09510	320595
R09510	225876
R09511	30841
R09511	71952
R09511	77035
R09511	320595
R09511	225876
R10056	30841
R10056	71952
R10056	77035
R10056	320595
R10056	225876
R03376	26433
R03376	18822
R03376	26432
R10522	68736
R03451	192289
R08727	13123
R07209	13123
R07372	13123
R08943	13123
R09516	13081
R09515	13081
R03610	13115
R08725	104086
R08759	104086
R08761	104086
R08760	104086
R08505	104086
R04806	104086
R08758	104086
R08726	104086
R04807	104086
R03611	244209
R07372	13122
R01463	13122
R08961	13122
R10728	170716
R10728	64385
R10728	72054
R03866	170716
R03866	64385
R03866	72054
R00557	18127
R00557	18126
R00557	18125
R00111	18127
R00111	18126
R00111	18125
R00558	18127
R00558	18126
R00558	18125
R05640	13121
